LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUlux SMD,,,TOTAL,
,,,,,,12/2/17 (17323^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C11 C20,3,C-C,1206X5R50V106K,TDK@C3216X5R1H106K160AB,CAP CER 10UF 50V 10% X5R 1206,(1),.3575,=C5*I5,CC01
2,C2 C8 C12 C14 C16 C21 C22 C23 C26 C27 C28,11,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C6*I6,ADPT
3,C3 C18 C19 C24 C25,5,C-C,0603X7R50V103K,MURATA@GRM188R71H103KA01J,CAP CER 10000PF 50V 10% X7R 0603,(1),0.007,=C7*I7,HT
4,C5,1,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.136,=C8*I8,CC01
5,C6,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C9*I9,ADPT
6,C7 C9 C10 C13 C15 C17,6,C-C,0805X7R50V105K,TAIYO@UMK212B7105KG-T,CAP CER 1UF 50V 10% X7R 0805,(1),0.049,=C10*I10,CC01
7,C29 C30,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C11*I11,RPUNO
8,D1 D3 D4 D5 D6 D7 D8,7,D-SBR,SQ4,DIODES@SBR2A40SA,DIODE SBR 40V 2A SMA,(1),0.289,=C12*I12,CC01
9,D9,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C13*I13,CC01
10,L1 L2 L3 L4 L5 L6,6,L-PSMD,33UH1A1,TAIYO_YUDEN@NR6028T330M,INDUCTOR POWER SHIELDED 33UH 1A1 SMD,(1),0.3096,=C14*I14,ADPT
11,L7,0,L-FB,MH2029-300Y,BORNS@MH2029-300Y,FERRITE SMDBEAD 30OHM@100MHZ 3A 0805,(1),0.0272,=C15*I15,ADPT
12,Q1 Q6 Q10 Q16 Q20,5,Q-NPN,K1N,DIODES@MMBT3904-7-F,TRANSISTOR NPN GP 40V 200MA SOT23,(1),0.0204,=C16*I16,IRRIGATE7
13,Q2 Q4 Q8,3,Q-PCH,P65,DIODES@DMP4065S-7,MOSFET P-CH 2.4A 40V SOT23,(1),0.2196,=C17*I17,PUNICA
14,Q3 Q9 Q11 Q17 Q19 Q22 Q23,7,Q-NCH,K38,DIODES@BSS138-7-F,MOSFET N-CH 200MA 50V SOT23,(1),0.1132,=C18*I18,ADPT
15,Q5 Q7 Q12 Q13 Q18 Q24,6,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0204,=C19*I19,HT
16,Q14 Q15 Q21,3,Q-NCH,34N,DIODES@DMN3404L-7,MOSFET N-CH 5.8A 30V SOT23,(1),0.1351,=C20*I20,IRRIGATE7
17,R1 R14 R29,3,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C21*I21,IRRIGATE7
18,R2,1,R-C,0805KX1001,YAGEO@RC0805FR-071KL,RESISTOR CHIP 1% 1KOHM 0805,(1),0.0025,=C22*I22,HT
19,R3 R9 R12 R13 R27,5,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C23*I23,IRRIGATE7
20,R4 R26,2,R-C,0805KX1501,YAGEO@RC0805FR-071K5L,RESISTOR CHIP 1% 1K5OHM 0805,(1),0.0025,=C24*I24,ADPT
21,R5,1,R-C,0805KX0R018,ROHM@UCR10EVHFSR018,RESISTOR CHIP 1% 0R018OHM 0805,(7),0.547,=C25*I25,RPULUX
22,R6 R7 R11 R22,4,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C26*I26,ADPT
23,R8,0,,JMP,,,,0.0,=C27*I27,NA
24,R10,0,,OPEN,,,,0.0,=C28*I28,NA
25,R15 R21,2,R-C,0805KX27R0,YAGEO@RC0805FR-0727R0L,RESISTOR CHIP 1% 27R0OHM 0805,(1),0.0064,=C29*I29,FTDI
26,R16 R17 R18 R23 R24 R25,6,R-C,0805KX0R300,STACKPOLE@CSR0805FKR300,RESISTOR CHIP 1% 0R300OHM 0805,(7),0.2312,=C30*I30,RPULUX
27,R19 R20 R28,3,R-C,0805KX127R,YAGEO@RC0805FR-07127RL,RESISTOR CHIP 1% 127OHM 0805,(1),0.0024,=C31*I31,PUNICA
28,U1,1,U-LINEAR,1087,DIODES@ZXCT1087E5TA,HISIDE CURRENT MONITOR SOT23-5,(1),1.0661,=C32*I32,CCTEST
29,U2,1,U-DCDC,I50115,MURATA PS@OKI-78SR-5,SMPS 5V 1500MA SIP3,(1),4.228,=C33*I33,RPUNO
30,U3 U4 U5 U6 U7 U8,6,U-LINEAR,A6,DIODES@AL8805W5-7,CURR DRIVER SOT23-5,(1),0.8110,=C34*I34,RPULUX
31,U9,1,U-AVR,MEGA328P,ATMEL@ATMEGA328P-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(),1.8952,=C35*I35,ADPT
32,Y1,1,Y-XTL,16MHZ20,ECS@ECS-160-20-3X-TR,CRYSTAL 16MHZ 20PF 30PPM  CSM-3X,(1),0.315,=C36*I36,RPUNO
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
